name,min_temp,max_temp,min_rain,max_rain,min_humidity,max_humidity,min_altitude,max_altitude,cycle_days,cost_per_hectare,cost_per_fanegada,category
Tomate de árbol,13,21,1200,2000,60,85,1800,2600,150,420000,268800,Fruta
Uchuva,13,18,800,1500,70,85,2000,2800,120,380000,243200,Fruta
Curuba,12,18,800,1500,70,85,2200,2800,130,390000,249600,Fruta
Zanahoria,10,18,600,1000,60,80,2400,2800,90,350000,224000,Verdura
Cebolla,12,18,500,800,60,80,2400,2800,100,340000,217600,Verdura
Habichuela,15,22,700,1200,60,80,2000,2600,110,360000,230400,Verdura
Lechuga,12,18,600,900,65,85,2400,2800,75,330000,211200,Verdura
Acelga,12,20,600,900,65,85,2400,2800,80,320000,204800,Verdura
Espinaca,10,18,500,800,65,85,2400,2800,70,310000,198400,Verdura
Repollo,12,20,700,1200,65,85,2400,2800,100,360000,230400,Verdura
Remolacha,12,20,600,900,65,85,2400,2800,95,340000,217600,Verdura
Maíz,18,25,600,1200,60,75,1800,2400,120,370000,236800,Cereales y legumbres
Fríjol,18,24,700,1500,60,80,2000,2600,110,360000,230400,Cereales y legumbres
Lentejas,10,20,400,700,55,75,2000,2600,100,330000,211200,Cereales y legumbres
Arveja,12,18,500,800,60,80,2200,2800,105,350000,224000,Cereales y legumbres
Fresa,10,20,800,1200,65,85,2400,2800,90,400000,256000,Fruta
Papa,8,18,700,1200,65,85,2500,3200,150,450000,288000,Verdura
Mora,9,21,800,1600,65,85,2000,2800,150,3250000,2100000,Fruta